"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0VxlGsIVuM9NMALtMkzT85","Piano Concerto No. 1 in C major, Op. 15: 1. Allegro con brio","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","spotify:album:7tE9Z0BpQADkmycJuSjX3F","Beethoven: Piano Concertos No.1 & 2","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","1992-01-01","https://i.scdn.co/image/ab67616d0000b27337b163cfb97c5ca0c0a0467c","1","1","1083000","","false","29","DEF059103431","spotify:user:1229681374","2018-11-01T01:03:29Z"
"spotify:track:0Xg22ccqdI2lvW7KWj4501","Piano Concerto No. 1 in C Major, Op. 15: II. Largo","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","spotify:album:7tE9Z0BpQADkmycJuSjX3F","Beethoven: Piano Concertos No.1 & 2","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","1992-01-01","https://i.scdn.co/image/ab67616d0000b27337b163cfb97c5ca0c0a0467c","1","2","760000","","false","27","DEF059103432","spotify:user:1229681374","2018-11-01T01:03:29Z"
"spotify:track:7dqQPELX4P4b6t8jddVJua","Piano Concerto No. 1 in C Major, Op. 15: III. Rondo (Allegro scherzando)","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","spotify:album:7tE9Z0BpQADkmycJuSjX3F","Beethoven: Piano Concertos No.1 & 2","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","1992-01-01","https://i.scdn.co/image/ab67616d0000b27337b163cfb97c5ca0c0a0467c","1","3","546000","","false","26","DEF059103433","spotify:user:1229681374","2018-11-01T01:03:29Z"
"spotify:track:5RMymHcdHLX3m3rEcOqNoW","Piano Concerto No. 2 in B-Flat Major, Op. 19: I. Allegro con brio","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","spotify:album:7tE9Z0BpQADkmycJuSjX3F","Beethoven: Piano Concertos No.1 & 2","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","1992-01-01","https://i.scdn.co/image/ab67616d0000b27337b163cfb97c5ca0c0a0467c","1","4","822000","","false","26","DEF059103441","spotify:user:1229681374","2018-11-01T01:03:29Z"
"spotify:track:5RVh9t3mXbOr0vnDJHeyii","Piano Concerto No. 2 in B-Flat Major, Op. 19: II. Adagio","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","spotify:album:7tE9Z0BpQADkmycJuSjX3F","Beethoven: Piano Concertos No.1 & 2","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","1992-01-01","https://i.scdn.co/image/ab67616d0000b27337b163cfb97c5ca0c0a0467c","1","5","623000","","false","25","DEF059103442","spotify:user:1229681374","2018-11-01T01:03:29Z"
"spotify:track:3fZMvEhvzkaP3dlJo0msPD","Piano Concerto No. 2 in B-Flat Major, Op. 19: III. Rondo. Molto allegro","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","spotify:album:7tE9Z0BpQADkmycJuSjX3F","Beethoven: Piano Concertos No.1 & 2","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker","1992-01-01","https://i.scdn.co/image/ab67616d0000b27337b163cfb97c5ca0c0a0467c","1","6","356000","","false","24","DEF059103443","spotify:user:1229681374","2018-11-01T01:03:29Z"
"spotify:track:7Hlirj8WRdyecJelgZwJfh","Piano Concerto No. 3 in C Minor, Op. 37: I. Allegro con brio - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:4uMNmUAkv8WDa50r5iuAst","Beethoven: Piano Concertos No.3 Op.37 & No.4 Op.58","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1993-01-01","https://i.scdn.co/image/ab67616d0000b2730a2eb9a5a4d871040f871681","1","1","1015000","","false","33","DEF058904831","spotify:user:1229681374","2018-11-01T01:04:09Z"
"spotify:track:6Rptn6eQPfoY1FP5pt9NOY","Piano Concerto No. 3 in C Minor, Op. 37: II. Largo - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:4uMNmUAkv8WDa50r5iuAst","Beethoven: Piano Concertos No.3 Op.37 & No.4 Op.58","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1993-01-01","https://i.scdn.co/image/ab67616d0000b2730a2eb9a5a4d871040f871681","1","2","707666","","false","31","DEF058904832","spotify:user:1229681374","2018-11-01T01:04:09Z"
"spotify:track:5RmuUbJ0lCZxRw2ynCUgiT","Piano Concerto No. 3 in C Minor, Op. 37: III. Rondo. Allegro - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:4uMNmUAkv8WDa50r5iuAst","Beethoven: Piano Concertos No.3 Op.37 & No.4 Op.58","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1993-01-01","https://i.scdn.co/image/ab67616d0000b2730a2eb9a5a4d871040f871681","1","3","550840","","false","30","DEF058904833","spotify:user:1229681374","2018-11-01T01:04:09Z"
"spotify:track:7c5jtxhYT13kUepkDL9nTv","Piano Concerto No. 4 in G Major, Op. 58: I. Allegro moderato - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:4uMNmUAkv8WDa50r5iuAst","Beethoven: Piano Concertos No.3 Op.37 & No.4 Op.58","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1993-01-01","https://i.scdn.co/image/ab67616d0000b2730a2eb9a5a4d871040f871681","1","4","1157000","","false","29","DEF058904841","spotify:user:1229681374","2018-11-01T01:04:09Z"
"spotify:track:7LXgNO6V7znkVII8SMJLto","Piano Concerto No. 4 in G Major, Op. 58: II. Andante con moto - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:4uMNmUAkv8WDa50r5iuAst","Beethoven: Piano Concertos No.3 Op.37 & No.4 Op.58","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1993-01-01","https://i.scdn.co/image/ab67616d0000b2730a2eb9a5a4d871040f871681","1","5","337440","","false","26","DEF058904842","spotify:user:1229681374","2018-11-01T01:04:09Z"
"spotify:track:7yB1OIft18vBlBlWO0HYg8","Piano Concerto No. 4 in G Major, Op. 58: III. Rondo. Vivace - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:4uMNmUAkv8WDa50r5iuAst","Beethoven: Piano Concertos No.3 Op.37 & No.4 Op.58","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1993-01-01","https://i.scdn.co/image/ab67616d0000b2730a2eb9a5a4d871040f871681","1","6","603560","","false","26","DEF058904843","spotify:user:1229681374","2018-11-01T01:04:09Z"
"spotify:track:7jHPwd9rbt2i2o4PaOkXiG","Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": I. Allegro - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:071ZoYVL38NR1WnPP6jAHz","Beethoven: Piano Concerto No.5","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1992-01-01","https://i.scdn.co/image/ab67616d0000b27361404603e0266ba121e9a458","1","1","1245000","","false","37","DEF058904851","spotify:user:1229681374","2018-11-01T01:04:32Z"
"spotify:track:6Gf9yJrOUxvYVGZZS2u95B","Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco moto - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:071ZoYVL38NR1WnPP6jAHz","Beethoven: Piano Concerto No.5","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1992-01-01","https://i.scdn.co/image/ab67616d0000b27361404603e0266ba121e9a458","1","2","547893","","false","40","DEF058904852","spotify:user:1229681374","2018-11-01T01:04:32Z"
"spotify:track:6voZMZvh5JLKRxpeg0EAOk","Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": III. Rondo. Allegro ma non troppo - Live","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","spotify:album:071ZoYVL38NR1WnPP6jAHz","Beethoven: Piano Concerto No.5","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:43wuPaPcZVMJQWLRaPR4Yz, spotify:artist:003f4bk13c6Q3gAUXv7dGJ, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein","1992-01-01","https://i.scdn.co/image/ab67616d0000b27361404603e0266ba121e9a458","1","3","646106","","false","33","DEF058904853","spotify:user:1229681374","2018-11-01T01:04:32Z"
